flight_date,record_created_date,flight_type,origin_airport,destination_airport,aircraft_type,pilot_name,passengers,scheduled_duration_hours,actual_duration_hours,departure_delay_minutes,arrival_delay_minutes
2026-04-01,2026-02-28,Domestic,BCD,TAG,Airbus A321,Pilot E,94,1.0,1.86,24,54
2026-04-02,2026-04-11,Domestic,KLO,TAG,Airbus A321,Pilot F,119,1.03,2.03,9,58
2026-04-03,2026-04-06,Domestic,DGT,BCD,Airbus A321,Pilot B,248,2.72,3.16,-10,26
2026-04-04,2026-03-21,Domestic,PPS,KLO,Boeing 737-800,Pilot E,45,1.98,2.55,18,37
2026-03-27,2026-03-26,Domestic,MNL,ILO,Airbus A320,Pilot E,179,1.38,2.54,-10,70
2026-04-22,2026-04-15,Domestic,CRK,DVO,ATR 72-600,Pilot D,257,1.64,1.91,2,22
2026-03-06,2026-02-28,Domestic,DVO,MNL,Airbus A321,Pilot J,159,2.55,3.58,-6,62
2026-04-12,2026-04-11,International,KLO,PPS,Boeing 737-800,Pilot D,180,6.97,6.73,1,-15
2026-03-13,2026-03-08,Domestic,DVO,MNL,Boeing 737-800,Pilot I,171,1.08,1.82,10,51
2026-03-06,2026-03-02,Domestic,DGT,MNL,Boeing 737-800,Pilot I,151,2.28,2.76,-10,27
2026-04-02,2026-03-26,Domestic,DVO,CRK,Boeing 737-800,Pilot H,178,2.26,2.74,47,27
2026-04-29,2026-04-27,Domestic,KLO,PPS,Embraer E190,Pilot D,238,3.13,4.41,23,78
2026-04-14,2026-04-07,Domestic,CEB,BCD,Boeing 737-800,Pilot J,196,1.7,2.34,51,21
2026-04-16,2026-04-09,Domestic,DGT,KLO,Boeing 737-800,Pilot C,226,0.96,1.29,8,21
2026-04-13,2026-04-11,International,DGT,KLO,Boeing 737-800,Pilot D,161,9.63,9.7,0,6
2026-04-17,2026-04-13,Domestic,PPS,CEB,Airbus A320,Pilot K,210,2.33,2.63,51,21
2026-04-01,2026-03-27,Domestic,CRK,PPS,Airbus A321,Pilot E,232,1.14,1.97,-1,57
2026-03-08,2026-03-06,Domestic,MNL,KLO,Airbus A321,Pilot I,86,2.13,3.46,8,75
2026-04-21,2026-04-14,Domestic,PPS,DVO,Airbus A320,Pilot A,229,1.27,1.69,28,30
2026-03-28,2026-03-26,Domestic,ILO,PPS,Airbus A321,Pilot H,191,2.83,3.88,-10,67
2026-03-31,2026-03-29,Domestic,DGT,DVO,Airbus A321,Pilot K,137,2.8,3.79,28,63
2026-03-23,2026-03-19,Domestic,BCD,DVO,Boeing 737-800,Pilot I,210,1.83,2.26,25,33
2026-03-12,2026-03-08,Domestic,KLO,CRK,Airbus A320,Pilot G,77,3.12,3.31,40,24
2026-04-26,2026-04-25,International,DGT,TAG,ATR 72-600,Pilot K,193,10.23,10.92,32,45
2026-04-17,2026-04-10,Domestic,TAG,ILO,Airbus A321,Pilot D,166,1.11,2.03,41,49
2026-04-09,2026-04-07,International,ILO,PPS,Boeing 737-800,Pilot E,235,6.58,6.87,10,16
2026-03-25,2026-03-24,Domestic,MNL,ILO,Airbus A320,Pilot A,176,2.24,2.83,-7,24
2026-04-20,2026-04-16,Domestic,MNL,BCD,Airbus A321,Pilot I,155,1.0,1.52,58,26
2026-04-03,2026-03-27,Domestic,ILO,KLO,Airbus A320,Pilot I,155,1.72,2.57,-10,47
2026-03-28,2026-03-27,International,KLO,DVO,Boeing 737-800,Pilot J,162,9.34,9.4,-10,-10
2026-03-28,2026-03-24,Domestic,MNL,TAG,Airbus A321,Pilot I,235,3.08,4.2,24,68
2026-03-14,2026-03-07,International,CEB,PPS,Embraer E190,Pilot B,212,7.23,8.0,48,46
2026-03-06,2026-02-27,Domestic,PPS,ILO,Airbus A321,Pilot H,60,2.63,3.95,16,79
2026-04-03,2026-04-01,Domestic,PPS,DGT,Boeing 737-800,Pilot J,157,1.73,2.87,34,57
2026-04-24,2026-04-19,International,MNL,DVO,Airbus A320,Pilot C,103,9.48,9.45,-10,-2
2026-03-04,2026-02-26,Domestic,KLO,MNL,Boeing 737-800,Pilot F,76,2.87,3.39,1,36
2026-04-22,2026-04-17,Domestic,MNL,KLO,Airbus A321,Pilot K,230,0.8,1.52,-10,39
2026-04-20,2026-04-15,Domestic,PPS,CRK,Airbus A321,Pilot E,228,0.93,1.77,29,56
2026-03-17,2026-03-11,Domestic,TAG,ILO,Airbus A320,Pilot J,246,1.67,2.23,-10,30
2026-04-08,2026-04-04,Domestic,TAG,DVO,Airbus A320,Pilot G,126,2.45,3.35,-10,51
2026-03-11,2026-03-10,Domestic,KLO,CRK,Airbus A320,Pilot H,133,1.62,2.7,23,66
2026-04-16,2026-04-11,Domestic,BCD,CRK,Embraer E190,Pilot H,211,0.96,2.19,35,70
2026-04-12,2026-04-07,Domestic,DGT,CRK,Airbus A321,Pilot H,82,1.56,1.76,9,23
2026-03-22,2026-03-16,Domestic,BCD,PPS,Airbus A320,Pilot J,51,1.39,2.03,25,37
2026-03-05,2026-02-26,Domestic,ILO,KLO,Embraer E190,Pilot K,132,0.81,1.34,24,35
2026-04-29,2026-04-26,Domestic,PPS,ILO,Airbus A320,Pilot D,178,2.08,3.31,7,53
2026-03-28,2026-03-21,Domestic,KLO,CEB,Airbus A321,Pilot L,140,1.08,1.62,-10,31
2026-04-24,2026-04-23,Domestic,TAG,KLO,Boeing 737-800,Pilot H,86,1.49,2.7,24,77
2026-04-11,2026-04-04,Domestic,KLO,CEB,ATR 72-600,Pilot H,154,2.34,3.42,25,75
2026-04-17,2026-04-16,Domestic,TAG,CRK,Boeing 737-800,Pilot D,247,2.54,3.35,32,39
2026-04-16,2026-04-11,Domestic,MNL,ILO,Airbus A321,Pilot F,100,1.43,2.12,19,44
2026-03-12,2026-03-07,Domestic,MNL,CEB,Embraer E190,Pilot H,128,1.59,2.26,-10,46
2026-03-23,2026-03-18,International,MNL,CRK,Airbus A320,Pilot E,108,4.02,4.29,27,14
2026-03-29,2026-03-22,Domestic,KLO,DVO,Embraer E190,Pilot D,104,3.1,3.54,12,22
2026-03-31,2026-03-27,Domestic,PPS,TAG,ATR 72-600,Pilot J,184,1.26,2.55,1,73
2026-03-03,2026-03-02,Domestic,DVO,TAG,Embraer E190,Pilot E,122,1.24,2.34,6,66
2026-04-03,2026-03-29,Domestic,CEB,MNL,Airbus A320,Pilot H,176,1.87,2.54,-3,39
2026-03-10,2026-03-07,Domestic,TAG,BCD,Airbus A320,Pilot A,44,1.25,2.14,32,52
2026-04-15,2026-04-10,Domestic,PPS,BCD,Boeing 737-800,Pilot A,185,1.18,1.92,-10,42
2026-04-11,2026-04-08,International,BCD,CRK,Boeing 737-800,Pilot K,63,6.62,6.89,-10,13
2026-04-26,2026-04-25,Domestic,ILO,CEB,Boeing 737-800,Pilot B,123,2.34,3.02,5,33
2026-04-15,2026-04-10,Domestic,ILO,PPS,Embraer E190,Pilot J,231,2.27,2.91,48,38
2026-03-23,2026-03-22,International,MNL,CRK,Boeing 737-800,Pilot K,114,6.03,6.4,35,28
2026-04-29,2026-04-26,Domestic,CEB,MNL,Airbus A321,Pilot F,193,2.66,3.08,-10,26
2026-03-26,2026-03-21,Domestic,TAG,CRK,Airbus A321,Pilot K,117,1.58,2.8,42,68
2026-03-20,2026-03-13,International,CRK,DVO,Airbus A320,Pilot F,238,6.54,6.83,42,30
2026-04-25,2026-04-22,International,PPS,CRK,Airbus A320,Pilot L,249,9.6,9.17,-10,-13
2026-03-23,2026-03-20,Domestic,PPS,DVO,Airbus A320,Pilot C,239,2.73,3.82,-10,59
2026-03-05,2026-03-02,Domestic,CRK,CEB,ATR 72-600,Pilot F,126,2.53,3.96,10,75
2026-03-29,2026-03-24,Domestic,DVO,DGT,Boeing 737-800,Pilot E,109,1.66,1.84,37,20
2026-04-18,2026-04-16,Domestic,BCD,CEB,Boeing 737-800,Pilot J,173,1.48,2.44,47,57
2026-03-12,2026-03-08,Domestic,MNL,PPS,Airbus A321,Pilot A,219,1.81,2.65,-7,53
2026-03-29,2026-03-23,Domestic,ILO,PPS,Boeing 737-800,Pilot J,155,1.03,1.95,51,57
2026-03-08,2026-03-07,Domestic,TAG,BCD,ATR 72-600,Pilot A,202,1.88,3.23,-10,79
2026-04-11,2026-04-04,International,PPS,DGT,ATR 72-600,Pilot D,232,10.21,9.99,4,-4
2026-03-30,2026-03-26,Domestic,PPS,MNL,Boeing 737-800,Pilot H,205,0.81,1.39,3,43
2026-03-21,2026-03-16,Domestic,MNL,CRK,ATR 72-600,Pilot B,121,3.04,3.47,37,28
2026-03-14,2026-03-09,Domestic,CEB,PPS,Boeing 737-800,Pilot F,94,2.45,2.77,41,20
2026-04-04,2026-03-28,International,DVO,KLO,Airbus A321,Pilot L,135,11.93,12.18,33,23
2026-04-10,2026-04-05,Domestic,DVO,BCD,ATR 72-600,Pilot J,166,1.62,2.53,-10,49
2026-04-27,2026-04-20,Domestic,CEB,TAG,Airbus A321,Pilot A,225,2.17,2.62,31,30
2026-03-27,2026-03-24,Domestic,DGT,CRK,Airbus A321,Pilot H,106,2.94,3.36,23,28
2026-03-10,2026-03-08,Domestic,CEB,DVO,Airbus A321,Pilot H,75,2.37,2.87,-10,28
2026-04-20,2026-04-15,Domestic,PPS,DGT,Boeing 737-800,Pilot A,109,2.25,2.83,-10,36
2026-04-08,2026-04-06,Domestic,KLO,BCD,Boeing 737-800,Pilot H,170,1.9,2.43,35,26
2026-04-12,2026-04-11,Domestic,BCD,PPS,Boeing 737-800,Pilot G,91,1.63,2.33,8,49
2026-03-06,2026-03-04,Domestic,DVO,ILO,Airbus A321,Pilot I,127,2.48,3.3,-10,59
2026-03-20,2026-03-18,International,CRK,ILO,Airbus A320,Pilot D,96,11.94,12.24,7,20
2026-04-16,2026-04-15,Domestic,BCD,CRK,ATR 72-600,Pilot D,256,1.82,2.44,20,37
2026-04-20,2026-04-14,Domestic,DVO,PPS,Airbus A321,Pilot I,152,1.74,2.06,10,28
2026-03-27,2026-03-22,Domestic,BCD,DVO,Embraer E190,Pilot I,198,1.83,2.56,-10,54
2026-04-19,2026-04-17,Domestic,MNL,DGT,Airbus A320,Pilot B,154,1.82,2.26,53,25
2026-04-21,2026-04-19,Domestic,MNL,CEB,Boeing 737-800,Pilot C,42,3.18,4.16,34,64
2026-03-24,2026-03-17,Domestic,PPS,ILO,Boeing 737-800,Pilot H,98,2.5,3.03,5,42
2026-04-24,2026-04-17,Domestic,BCD,CRK,ATR 72-600,Pilot J,224,1.66,2.51,6,44
2026-03-18,2026-03-17,International,MNL,BCD,Airbus A320,Pilot C,152,11.29,11.6,20,23
2026-03-15,2026-03-10,Domestic,TAG,BCD,ATR 72-600,Pilot C,194,1.83,1.8,-10,-10
2026-04-11,2026-04-08,Domestic,MNL,DGT,Boeing 737-800,Pilot J,207,0.89,1.38,19,29
2026-04-08,2026-04-05,Domestic,DGT,PPS,Boeing 737-800,Pilot I,163,2.07,2.17,-10,4
2026-03-09,2026-03-04,International,PPS,DVO,Boeing 737-800,Pilot K,167,7.61,8.18,10,36
2026-04-20,2026-04-13,Domestic,DGT,DVO,Airbus A320,Pilot J,91,2.39,2.09,-10,1
2026-03-13,2026-03-08,Domestic,DGT,TAG,Airbus A321,Pilot L,94,1.28,0.93,-10,-13
2026-04-19,2026-04-12,International,CRK,ILO,Airbus A320,Pilot C,72,10.68,11.45,48,47
2026-03-01,2026-02-23,International,PPS,MNL,Airbus A321,Pilot D,105,7.98,7.92,13,-6
2026-04-18,2026-04-12,Domestic,DVO,TAG,Boeing 737-800,Pilot C,178,1.43,2.08,17,52
2026-04-18,2026-04-12,Domestic,ILO,BCD,Airbus A321,Pilot A,244,2.29,2.03,-10,-15
2026-04-17,2026-04-11,Domestic,DVO,MNL,Airbus A320,Pilot J,136,2.27,2.49,-1,21
2026-04-10,2026-04-08,International,ILO,PPS,Airbus A320,Pilot H,172,4.25,4.81,22,32
2026-03-29,2026-03-22,Domestic,TAG,BCD,Airbus A320,Pilot B,229,1.13,1.56,16,26
2026-04-13,2026-04-06,Domestic,ILO,BCD,Airbus A320,Pilot C,189,1.27,1.24,-10,-7
2026-03-17,2026-03-12,Domestic,MNL,TAG,Boeing 737-800,Pilot C,97,1.97,2.23,17,8
2026-04-17,2026-04-12,Domestic,CRK,ILO,Airbus A320,Pilot E,101,0.91,1.1,20,8
2026-04-03,2026-03-27,Domestic,PPS,ILO,ATR 72-600,Pilot F,180,1.8,3.17,40,76
2026-03-28,2026-03-26,Domestic,KLO,BCD,Airbus A320,Pilot D,103,2.69,2.73,-2,5
2026-03-31,2026-03-30,Domestic,KLO,CEB,Airbus A320,Pilot L,94,1.16,1.75,-10,15
2026-04-04,2026-03-28,International,ILO,CEB,ATR 72-600,Pilot C,170,4.89,5.08,-10,20
2026-03-03,2026-02-27,International,DVO,TAG,Airbus A321,Pilot G,179,8.62,8.36,-10,-12
2026-03-09,2026-03-03,Domestic,KLO,DVO,Airbus A321,Pilot F,95,2.01,2.8,28,41
2026-03-15,2026-03-11,Domestic,BCD,KLO,Embraer E190,Pilot E,50,2.0,2.02,-10,-4
2026-03-07,2026-03-03,Domestic,TAG,DVO,Embraer E190,Pilot J,208,2.14,1.97,2,-14
2026-03-27,2026-03-26,Domestic,BCD,DVO,Boeing 737-800,Pilot L,126,1.25,2.08,43,45
2026-04-10,2026-04-07,Domestic,DGT,KLO,Airbus A320,Pilot A,179,1.15,1.37,12,28
2026-04-09,2026-04-08,International,TAG,BCD,Boeing 737-800,Pilot F,77,8.08,8.74,32,28
2026-03-29,2026-03-25,Domestic,MNL,ILO,Embraer E190,Pilot B,109,1.75,1.54,-10,-11
2026-04-22,2026-04-21,Domestic,CRK,CEB,Embraer E190,Pilot F,173,1.5,1.52,-10,-8
2026-04-04,2026-03-29,International,CRK,DVO,Airbus A320,Pilot H,67,6.98,8.19,44,87
2026-03-05,2026-03-02,Domestic,MNL,CEB,Airbus A321,Pilot E,109,2.83,2.63,14,-14
2026-04-16,2026-04-10,Domestic,CEB,TAG,Airbus A321,Pilot D,198,0.88,1.28,14,28
2026-04-05,2026-04-04,Domestic,PPS,CRK,Airbus A320,Pilot D,209,2.6,2.5,-10,-10
2026-04-08,2026-04-07,Domestic,CRK,ILO,Boeing 737-800,Pilot D,117,1.72,1.87,14,7
2026-04-04,2026-04-01,Domestic,CEB,MNL,Airbus A320,Pilot D,65,2.24,2.12,-10,-10
2026-04-03,2026-03-28,Domestic,DVO,ILO,Airbus A321,Pilot E,45,1.39,2.18,38,55
2026-03-06,2026-02-28,International,DVO,DGT,Airbus A320,Pilot I,162,4.36,5.85,72,90
2026-04-04,2026-03-31,Domestic,CEB,ILO,Airbus A321,Pilot B,192,2.08,2.58,23,31
2026-04-18,2026-04-13,Domestic,CEB,BCD,Airbus A320,Pilot A,170,2.47,2.91,-2,23
2026-03-19,2026-03-14,Domestic,PPS,CEB,Airbus A321,Pilot G,129,1.27,1.69,-10,18
2026-04-06,2026-04-01,Domestic,TAG,CEB,Airbus A320,Pilot I,44,1.85,2.03,-10,10
2026-03-02,2026-02-24,Domestic,ILO,PPS,Embraer E190,Pilot D,89,1.87,2.4,46,41
2026-03-22,2026-03-21,Domestic,BCD,MNL,Airbus A320,Pilot C,47,1.32,1.4,-10,4
2026-03-27,2026-03-23,Domestic,DGT,ILO,Boeing 737-800,Pilot H,141,2.16,2.77,4,18
2026-04-29,2026-04-23,Domestic,TAG,CRK,Airbus A320,Pilot E,107,1.15,1.61,26,16
2026-03-14,2026-03-10,International,MNL,CRK,Airbus A320,Pilot I,55,10.85,10.86,45,22
2026-03-17,2026-03-15,Domestic,DGT,KLO,Airbus A320,Pilot B,173,1.07,0.83,8,-15
2026-03-25,2026-03-20,Domestic,MNL,DGT,Airbus A320,Pilot B,121,1.97,2.23,3,9
2026-04-30,2026-04-27,Domestic,MNL,CRK,Airbus A320,Pilot G,251,1.55,1.93,14,24
2026-04-22,2026-04-18,International,ILO,TAG,Airbus A321,Pilot E,131,8.8,8.49,-2,-15
2026-03-03,2026-02-27,Domestic,PPS,KLO,Boeing 737-800,Pilot I,59,1.84,2.19,-1,23
2026-03-15,2026-03-10,Domestic,MNL,PPS,Airbus A320,Pilot G,195,2.98,3.53,21,29
2026-04-20,2026-04-13,Domestic,DVO,MNL,Airbus A321,Pilot E,194,1.98,2.59,16,45
2026-03-04,2026-02-27,Domestic,DVO,TAG,Boeing 737-800,Pilot B,244,2.76,4.09,59,71
2026-04-22,2026-04-15,Domestic,CRK,MNL,Airbus A320,Pilot B,192,1.34,1.47,22,8
2026-03-18,2026-03-17,Domestic,DGT,ILO,Airbus A321,Pilot J,119,1.64,2.36,37,50
2026-04-25,2026-04-19,Domestic,CRK,BCD,Airbus A320,Pilot C,187,0.98,1.23,-10,7
2026-03-18,2026-03-15,Domestic,DVO,CRK,Airbus A320,Pilot G,215,1.81,1.94,24,19
2026-03-27,2026-03-21,International,CEB,MNL,Airbus A321,Pilot J,153,7.52,7.2,-4,-15
2026-04-10,2026-04-09,Domestic,CEB,BCD,Embraer E190,Pilot K,214,2.81,3.21,21,28
2026-03-08,2026-03-04,Domestic,CEB,MNL,Embraer E190,Pilot D,252,2.16,2.65,27,14
2026-04-03,2026-04-02,Domestic,KLO,BCD,Embraer E190,Pilot B,206,2.34,2.89,13,38
2026-03-31,2026-03-26,Domestic,ILO,PPS,Airbus A321,Pilot J,150,1.23,2.02,65,63
2026-04-17,2026-04-15,Domestic,ILO,DVO,Airbus A320,Pilot I,148,0.89,2.14,43,79
2026-04-30,2026-04-28,Domestic,TAG,DVO,Airbus A321,Pilot D,224,2.7,2.84,38,5
2026-04-10,2026-04-09,International,KLO,DVO,Airbus A320,Pilot H,232,10.29,10.98,29,36
2026-03-25,2026-03-23,International,CEB,DVO,Airbus A320,Pilot C,97,8.66,10.3,51,82
2026-03-25,2026-03-18,International,CRK,CEB,Airbus A320,Pilot I,42,8.33,8.25,-10,-15
2026-03-26,2026-03-19,International,CRK,DVO,Airbus A321,Pilot I,217,9.16,9.92,42,44
2026-04-19,2026-04-18,International,TAG,BCD,Airbus A321,Pilot D,91,6.3,5.99,-10,-12
2026-03-20,2026-03-13,Domestic,CRK,DVO,Airbus A320,Pilot F,259,1.71,1.79,0,-7
2026-03-11,2026-03-06,Domestic,CEB,PPS,Boeing 737-800,Pilot E,47,2.8,3.31,24,33
2026-03-21,2026-03-18,Domestic,PPS,TAG,Airbus A321,Pilot A,240,1.29,1.56,39,21
